2021-03-13,73369
2021-03-12,73348
2021-03-11,73120
2021-03-10,72858
2021-03-09,72534
2021-03-08,72236
2021-03-07,71984
2021-03-06,71951
2021-03-05,71852
2021-03-04,71554
2021-03-03,71285
2021-03-02,70926
2021-03-01,70514
2021-02-28,70152
2021-02-27,70092
2021-02-26,69939
2021-02-25,69343
2021-02-24,69170
2021-02-23,68785
2021-02-22,68363
2021-02-21,67946
2021-02-20,67883
2021-02-19,67741
2021-02-18,67245
2021-02-17,66732
2021-02-16,65829
2021-02-15,65288
2021-02-14,65107
2021-02-13,64990
2021-02-12,64771
2021-02-11,64224
2021-02-10,63672
2021-02-09,63006
2021-02-08,62191
2021-02-07,61708
2021-02-06,61551
2021-02-05,61324
2021-02-04,60634
2021-02-03,59776
2021-02-02,58992
2021-02-01,58059
2021-01-31,57163
2021-01-30,57105
2021-01-29,56286
2021-01-28,55883
2021-01-27,54498
2021-01-26,53619
2021-01-25,53127
2021-01-24,52296
2021-01-23,51873
2021-01-22,51713
2021-01-21,50876
2021-01-20,50010
2021-01-19,48997
2021-01-18,47263
2021-01-17,46901
2021-01-16,46464
2021-01-15,45705
2021-01-14,45207
2021-01-13,44096
2021-01-12,42889
2021-01-11,41799
2021-01-10,40936
2021-01-09,40597
2021-01-08,40022
2021-01-07,38987
2021-01-06,37835
2021-01-05,36757
2021-01-04,35748
2021-01-03,34791
2021-01-02,34480
2021-01-01,34145
2020-12-31,33791
2020-12-30,33230
2020-12-29,32267
2020-12-28,31145
2020-12-27,30297
2020-12-26,29946
2020-12-25,29580
2020-12-24,29330
2020-12-23,28909
2020-12-22,28096
2020-12-21,27110
2020-12-20,26400
2020-12-19,26171
2020-12-18,25754
2020-12-17,25027
2020-12-16,24273
2020-12-15,23544
2020-12-14,22634
2020-12-13,22106
2020-12-12,21900
2020-12-11,21567
2020-12-10,21064
2020-12-09,20460
2020-12-08,20002
2020-12-07,19434
2020-12-06,18989
2020-12-05,18839
2020-12-04,18577
2020-12-03,18097
2020-12-02,17659
2020-12-01,17177
2020-11-30,16694
2020-11-29,16306
2020-11-28,16181
2020-11-27,16011
2020-11-26,15640
2020-11-25,15210
2020-11-24,14832
2020-11-23,14460
2020-11-22,14159
2020-11-21,14061
2020-11-20,13918
2020-11-19,13662
2020-11-18,13390
2020-11-17,13138
2020-11-16,12833
2020-11-15,12573
2020-11-14,12511
2020-11-13,12404
2020-11-12,12216
2020-11-11,11994
2020-11-10,11781
2020-11-09,11408
2020-11-08,11372
2020-11-07,11306
2020-11-06,11240
2020-11-05,11110
2020-11-04,10949
2020-11-03,10717
2020-11-02,10669
2020-11-01,10513
2020-10-31,10483
2020-10-30,10391
2020-10-29,10305
2020-10-28,10218
2020-10-27,10121
2020-10-26,10091
2020-10-25,10062
2020-10-24,10035
2020-10-23,9978
2020-10-22,9960
2020-10-21,9911
2020-10-20,9882
2020-10-19,9842
2020-10-18,9798
2020-10-17,9785
2020-10-16,9773
2020-10-15,9739
2020-10-14,9716
2020-10-13,9682
2020-10-12,9640
2020-10-11,9626
2020-10-10,9620
2020-10-09,9599
2020-10-08,9594
2020-10-07,9582
2020-10-06,9566
2020-10-05,9554
2020-10-04,9533
2020-10-03,9531
2020-10-02,9518
2020-10-01,9509
2020-09-30,9495
2020-09-29,9483
2020-09-28,9468
2020-09-27,9464
2020-09-26,9459
2020-09-25,9451
2020-09-24,9436
2020-09-23,9423
2020-09-22,9405
2020-09-21,9390
2020-09-20,9390
2020-09-19,9388
2020-09-18,9386
2020-09-17,9376
2020-09-16,9373
2020-09-15,9367
2020-09-14,9356
2020-09-13,9354
2020-09-12,9352
2020-09-11,9348
2020-09-10,9345
2020-09-09,9342
2020-09-08,9336
2020-09-07,9331
2020-09-06,9330
2020-09-05,9329
2020-09-04,9327
2020-09-03,9322
2020-09-02,9322
2020-09-01,9307
2020-08-31,9303
2020-08-30,9300
2020-08-29,9299
2020-08-28,9290
2020-08-27,9290
2020-08-26,9285
2020-08-25,9281
2020-08-24,9276
2020-08-23,9275
2020-08-22,9272
2020-08-21,9266
2020-08-20,9263
2020-08-19,9249
2020-08-18,9241
2020-08-17,9236
2020-08-16,9235
2020-08-15,9235
2020-08-14,9230
2020-08-13,9217
2020-08-12,9213
2020-08-11,9208
2020-08-10,9203
2020-08-09,9202
2020-08-08,9201
2020-08-07,9195
2020-08-06,9181
2020-08-05,9179
2020-08-04,9163
